Type_Test,Code_Langue,Code_Niveau_Email,Code_Profil,Element,Ordre,Contenu / ID_Document
Couleurs,FR,"N1,N2,N3",,Corps_Texte,18,Voici le détail de vos scores pour chaque dimension évaluée :
Couleurs,FR,"N1,N2,N3",,Corps_Texte,19,Voici le détail de vos scores :
MBTI,FR,"N1,N2,N3",ENFP,Corps_Texte,10,"Créatif, inspirant, aime les nouvelles idées et les relations humaines"
Couleurs,FR,"N1,N2,N3",,Ligne_Score,21,- {{nom_profil}} : {{score}} points / {{total_possible}}
Couleurs,FR,"N1,N2,N3",,Corps_Texte,31,Nous restons à votre disposition pour un débriefing personnalisé de ces résultats.
MBTI,FR,"N1,N2,N3",ENFP,Corps_Texte,20
Couleurs,FR,"N1,N2,N3",,Corps_Texte,40,"Cordialement,"
Couleurs,FR,"N1,N2,N3",,Corps_Texte,41,Votre Formateur
MBTI,FR,"N1,N2,N3",INFJ,Document,110,16WlLJI3HPfbmFys7Yo7tFfbrFQxORUSf
Couleurs,FR,"N1,N2,N3",,Sujet_Email,0,Analyse détaillée de votre test Couleurs
Couleurs,EN,"N1,N2,N3",,Sujet_Email,0,Detailed analysis of your Colors test
MBTI,FR,"N1,N2,N3",ENTJ,Corps_Texte,10,"Stratégique, orienté résultats, aime diriger avec clarté"
MBTI,FR,"N1,N2,N3",ENTJ,Corps_Texte,20
MBTI,FR,"N1,N2,N3",INFP,Document,110,1dORDF9zEEA5N7aOfUxCuoP8b7awenbKV
MBTI,FR,"N1,N2,N3",ENTP,Corps_Texte,10,"Ingénieux, aime débattre, explore les possibilités sans fin"
MBTI,FR,"N1,N2,N3",ENTP,Corps_Texte,20
MBTI,FR,"N1,N2,N3",INTJ,Document,110,1NAhd0Az3dtB8vf_aCN3yktogSCSDjihA
MBTI,FR,"N1,N2,N3",ESFJ,Corps_Texte,10,"Chaleureux, coopératif, prend soin du groupe"
MBTI,FR,"N1,N2,N3",ESFJ,Corps_Texte,20
MBTI,FR,"N1,N2,N3",INTP,Document,110,1B9cIlYvArOH96tzTltCnuPQQeT86STnU
MBTI,FR,"N1,N2,N3",ESFP,Corps_Texte,10,"Enthousiaste, sociable, aime vivre l’instant présent"
MBTI,FR,"N1,N2,N3",ESFP,Corps_Texte,20
MBTI,FR,"N1,N2,N3",ISFJ,Document,110,1xqaUNTuPOxAx3BtezvuY7LGT2WxgO2cP
MBTI,FR,"N1,N2,N3",ESTJ,Corps_Texte,10,"Organisé, directif, aime l’efficacité et la structure"
MBTI,FR,"N1,N2,N3",ESTJ,Corps_Texte,20
MBTI,FR,"N1,N2,N3",ISFP,Document,110,1hh8LlQUrvLi7ILCrMDHk5yZVvWFs7D6n
MBTI,FR,"N1,N2,N3",ESTP,Corps_Texte,10,"Spontané, énergique, aime l’action et les défis immédiats"
MBTI,FR,"N1,N2,N3",ESTP,Corps_Texte,20
MBTI,FR,"N1,N2,N3",ISTJ,Document,110,1IJ-eEeTfT9VcAtZozknSQVVxPztr184e
MBTI,FR,"N1,N2,N3",INFJ,Corps_Texte,10,"Profond, idéaliste, orienté vers la compréhension des autres"
MBTI,FR,"N1,N2,N3",INFJ,Corps_Texte,20
MBTI,FR,"N1,N2,N3",ISTP,Document,110,1Z4cLVYsbgW8R5VP1m0__HZoeMb-EsJ3Y
MBTI,FR,"N1,N2,N3",INFP,Corps_Texte,10,"Imaginatif, fidèle à ses valeurs, aspire à un monde meilleur"
MBTI,FR,"N1,N2,N3",INFP,Corps_Texte,20
MBTI,FR,"N1,N2,N3",INTJ,Corps_Texte,10,"Indépendant, organisé, tourné vers la vision à long terme"
MBTI,FR,"N1,N2,N3",INTJ,Corps_Texte,20
MBTI,FR,"N1,N2,N3",,Document,100,1m7zh0O-lP_A5PaKqzPG79zHUH6yTWwGr
MBTI,FR,"N1,N2,N3",INTP,Corps_Texte,10,"Curieux, théorique, cherche à comprendre les principes profonds"
MBTI,FR,"N1,N2,N3",INTP,Corps_Texte,20
MBTI,FR,"N1,N2,N3",ISFJ,Corps_Texte,10,"Dévoué, consciencieux, attentif aux besoins des autres"
MBTI,FR,"N1,N2,N3",ISFJ,Corps_Texte,20
MBTI,FR,"N1,N2,N3",ISFP,Corps_Texte,10,"Sensible, modeste, aime la beauté et l’harmonie"
MBTI,FR,"N1,N2,N3",ISFP,Corps_Texte,20
MBTI,FR,"N1,N2,N3",ISTJ,Corps_Texte,10,"Sérieux, fiable, respectueux des règles, attaché aux traditions"
MBTI,FR,"N1,N2,N3",ISTJ,Corps_Texte,20
MBTI,FR,"N1,N2,N3",ISTP,Corps_Texte,10,"Pragmatique, calme, résout les problèmes de façon logique"
MBTI,FR,"N1,N2,N3",ISTP,Corps_Texte,20
MBTI,FR,"N1,N2,N3",,Introduction,1,"Bonjour {{Votre_nom_et_prenom}},"
MBTI,FR,"N1,N2,N3",,Introduction,2,Nous avons le plaisir de vous transmettre l'analyse complète de vos résultats. Cette restitution a pour but de vous aider dans votre démarche de développement.
MBTI,FR,N4,,Corps_Texte,19,Voici le détail de vos préférences :
MBTI,FR,"N1,N2,N3",,Corps_Texte,5,"Synthèse de votre profil MBTI:  {{Detail_1}}, {{Titre_Profil}}"
MBTI,FR,"N1,N2,N3",,Corps_Texte,31,Description :  {{Description_Profil}}
MBTI,FR,"N1,N2,N3",,Corps_Texte,18,Voici le détail de vos scores pour chaque dimension évaluée :
MBTI,FR,"N1,N2,N3",,Corps_Texte,31,Nous restons à votre disposition pour un débriefing personnalisé de ces résultats.
MBTI,FR,"N1,N2,N3",,Corps_Texte,40,"Cordialement,"
MBTI,FR,"N1,N2,N3",,Corps_Texte,41,Votre Formateur
MBTI,FR,N3,,Sujet_Email,0,Analyse détaillée de votre profil MBTI
MBTI,EN,"N1,N2,N3",ENFJ,Document,110,1bz17IgRcKgBbYzBKw37n4KCHY0hl-0lo
MBTI,EN,"N1,N2,N3",ENFP,Document,110,1ICv4CbJZYc1vusDlaWYpkKOv_6nsOItI
MBTI,EN,"N1,N2,N3",ENTJ,Document,110,1R-lTxUA9JsWTZXFC8lUfjRhmaJD9o9eN
MBTI,EN,"N1,N2,N3",ENTP,Document,110,1gaQaESfrkaoi1FF26LudEhX-8SxXmR8g
MBTI,EN,"N1,N2,N3",ESFJ,Document,110,15334BpvVl7nKAmv5utS7iqHxJ61lKcAZ
MBTI,EN,"N1,N2,N3",ESFP,Document,110,1GDyZuKFp04p_Y1R6uihum9ESGKvCSxSx
MBTI,EN,"N1,N2,N3",ESTJ,Document,110,1GHsVwcPQ0sFrgnUQteHrnJ8LV2U-t-kH
MBTI,EN,"N1,N2,N3",ENFJ,Corps_Texte,10,"Inspiring, attentive, helps others grow"
MBTI,EN,"N1,N2,N3",ENFJ,Corps_Texte,20
MBTI,EN,"N1,N2,N3",ESTP,Document,110,1DsKVM3N5x-2ytwY6-caYRcq0p-6jqy-_
MBTI,EN,"N1,N2,N3",ENFP,Corps_Texte,10,"Creative, inspiring, loves new ideas and people"
MBTI,EN,"N1,N2,N3",ENFP,Corps_Texte,20
MBTI,EN,"N1,N2,N3",INFJ,Document,110,1u02_nb6Tfw5VlYNK7NQAL3m0yZjSunLz
MBTI,EN,"N1,N2,N3",ENTJ,Corps_Texte,10,"Strategic, result-driven, clear-headed leader"
MBTI,EN,"N1,N2,N3",ENTJ,Corps_Texte,20
MBTI,EN,"N1,N2,N3",INFP,Document,110,1qBjzzf1QldVceKglFPMmGFoPPEvhvuc1
MBTI,EN,"N1,N2,N3",ENTP,Corps_Texte,10,"Clever, loves debates, explores endless possibilities"
Couleurs,EN,"N1,N2,N3",,Document ,100,1k_UgDPDqzxk8lh2oR4AmONpDo44j3szZ
MBTI,EN,"N1,N2,N3",ENTP,Corps_Texte,20
MBTI,EN,"N1,N2,N3",INTJ,Document,110,15NfbVdzyB4ppmkMKOsb-FwnpowjovAdC
MBTI,EN,"N1,N2,N3",ESFJ,Corps_Texte,10,"Warm, cooperative, looks after the group"
MBTI,EN,"N1,N2,N3",ESFJ,Corps_Texte,20
MBTI,EN,"N1,N2,N3",INTP,Document,110,10d9xJl2AYPxyQUT38NLduciZOVw-RmtU
MBTI,EN,"N1,N2,N3",ESFP,Corps_Texte,10,"Enthusiastic, social, lives in the moment"
MBTI,EN,"N1,N2,N3",ESFP,Corps_Texte,20
